timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-09-23T13:58:01.803472+01:00,1.248043964,1m4f Nov Stks,Lingfield 23rd Sep,2025-09-23 12:45:00+00:00,1,Master Vintner,1.4,8.8,W,3.5199999999999996,223.52
2025-09-23T14:16:01.099599+01:00,1.248043820,1m Nov Stks,Beverley 23rd Sep,2025-09-23 13:08:00+00:00,1,Circle Of Magic,2.14,8.95,L,-8.95,214.57000000000002
2025-09-23T14:28:31.096782+01:00,1.248044589,7f Mdn,Listowel 23rd Sep,2025-09-23 13:20:00+00:00,2,Straight Up,3.6,13.43,W,34.918,249.48800000000003
2025-09-23T14:44:31.042302+01:00,1.248043827,5f Nov Stks,Beverley 23rd Sep,2025-09-23 13:38:00+00:00,1,Ironwill,2.4,9.98,W,13.972,263.46000000000004
2025-09-23T14:56:30.904096+01:00,1.248044594,7f Hcap,Listowel 23rd Sep,2025-09-23 13:50:00+00:00,1,Liamo,6.2,10.54,L,-10.54,252.92000000000004
2025-09-23T15:06:01.257437+01:00,1.248043873,2m Nov Hrd,Warwick 23rd Sep,2025-09-23 13:58:00+00:00,2,Soleil Darizona,1.57,22.19,W,12.648300000000003,265.5683
2025-09-23T15:19:30.654019+01:00,1.248043985,1m Mdn Stks,Lingfield 23rd Sep,2025-09-23 14:15:00+00:00,1,Indian Spirit,2.16,10.63,W,12.330800000000002,277.89910000000003
2025-09-23T15:36:00.887208+01:00,1.248043880,2m Nov Hrd,Warwick 23rd Sep,2025-09-23 14:28:00+00:00,1,Beau Quali,2.32,11.12,L,-11.12,266.7791
2025-09-23T15:44:00.817285+01:00,1.248043840,5f Cond Stks,Beverley 23rd Sep,2025-09-23 14:38:00+00:00,2,Democracy Dilemma,3.8,16.68,L,-16.68,250.09910000000002
2025-09-23T15:56:30.913138+01:00,1.248044604,1m Listed Stks,Listowel 23rd Sep,2025-09-23 14:50:00+00:00,3,Evening Blossom,4.0,25.02,L,-25.02,225.0791
2025-09-23T16:08:31.353833+01:00,1.248043886,2m3f Hcap Hrd,Warwick 23rd Sep,2025-09-23 14:58:00+00:00,4,Belle Montrose,2.8,41.29,L,-41.29,183.78910000000002
2025-09-23T16:21:00.845875+01:00,1.248043999,1m Hcap,Lingfield 23rd Sep,2025-09-23 15:15:00+00:00,5,City Of Poets,3.3,61.94,L,-61.94,121.84910000000002
2025-09-23T16:31:00.745791+01:00,1.248043909,2m Hcap,Southwell 23rd Sep,2025-09-23 15:25:00+00:00,6,Night Tara,1.34,121.84910000000002,L,-121.84910000000002,0.0
