timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-09-25T13:58:01.056743+01:00,1.248161582,1m Mdn Stks,Newmarket 25th Sep,2025-09-25 12:50:00+00:00,1,Del Maro,1.96,8.8,L,-8.8,211.2
2025-09-25T14:12:30.728015+01:00,1.248161628,5f App Hcap,Pontefract 25th Sep,2025-09-25 13:08:00+00:00,2,Canaria Queen,2.32,14.52,L,-14.52,196.67999999999998
2025-09-25T14:23:31.612777+01:00,1.248169672,2m Mdn Hrd,Listowel 25th Sep,2025-09-25 13:15:00+00:00,3,Carrigmoornaspruce,1.63,44.42,W,27.984599999999997,224.66459999999998
2025-09-25T14:32:31.137055+01:00,1.248161588,1m Nursery,Newmarket 25th Sep,2025-09-25 13:25:00+00:00,1,Monoceros,3.1,8.99,L,-8.99,215.67459999999997
2025-09-25T14:48:00.834780+01:00,1.248161634,6f Mdn Stks,Pontefract 25th Sep,2025-09-25 13:43:00+00:00,2,Spanish Waltz,1.49,22.02,W,10.7898,226.46439999999996
2025-09-25T15:00:01.766377+01:00,1.248169677,2m Mdn Hrd,Listowel 25th Sep,2025-09-25 13:50:00+00:00,1,Heads Up,1.71,9.06,W,6.4326,232.89699999999996
2025-09-25T15:17:01.459147+01:00,1.248161759,2m Nov Hcap Hrd,Perth 25th Sep,2025-09-25 14:08:00+00:00,1,Top Flight Century,3.5,9.32,L,-9.32,223.57699999999997
2025-09-25T15:35:01.318657+01:00,1.248169682,2m Listed Hcap Hrd,Listowel 25th Sep,2025-09-25 14:25:00+00:00,2,Messerschmitt,5.3,13.98,L,-13.98,209.59699999999998
2025-09-25T15:54:01.532094+01:00,1.248161766,3m Hcap Chs,Perth 25th Sep,2025-09-25 14:43:00+00:00,3,Upfordebate,3.1,20.97,W,44.037,253.634
2025-09-25T16:07:31.215870+01:00,1.248169687,2m Hcap Hrd,Listowel 25th Sep,2025-09-25 15:00:00+00:00,1,Targa Flavio,6.2,10.15,L,-10.15,243.48399999999998
2025-09-25T16:21:01.287826+01:00,1.248161607,2m Listed,Newmarket 25th Sep,2025-09-25 15:10:00+00:00,2,Live Your Dream,3.1,15.23,L,-15.23,228.254
2025-09-25T16:35:01.071479+01:00,1.248161655,1m2f Hcap,Pontefract 25th Sep,2025-09-25 15:28:00+00:00,3,Wave Rider,1.99,30.77,W,30.4623,258.7163
