timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-09-13T13:24:01.290781+01:00,1.247659024,1m Hcap,Doncaster 13th Sep,2025-09-13 12:15:00+00:00,1,Treble Tee,3.6,8.8,W,22.880000000000003,242.88
2025-09-13T13:42:01.336199+01:00,1.247659354,7f Mdn Stks,Chester 13th Sep,2025-09-13 12:35:00+00:00,1,Ghost Mode,2.68,9.72,W,16.329600000000003,259.2096
2025-09-13T13:59:01.373014+01:00,1.247659030,7f Grp 2,Doncaster 13th Sep,2025-09-13 12:50:00+00:00,1,Gewan,2.28,10.37,L,-10.37,248.83960000000002
2025-09-13T14:14:31.258702+01:00,1.247659360,1m4f Listed Stks,Chester 13th Sep,2025-09-13 13:05:00+00:00,2,Hamish,2.48,17.12,W,25.337600000000002,274.1772
2025-09-13T14:40:30.936665+01:00,1.247658892,1m Hcap,Lingfield 13th Sep,2025-09-13 13:33:00+00:00,1,Tronido,2.22,10.97,L,-10.97,263.2072
2025-09-13T14:55:30.925110+01:00,1.247660593,7f Hcap,Leopardstown 13th Sep,2025-09-13 13:50:00+00:00,2,Gleneagle Bay,2.84,18.11,L,-18.11,245.0972
2025-09-13T15:07:31.006171+01:00,1.247659310,7f Grp 2,Doncaster 13th Sep,2025-09-13 14:00:00+00:00,3,Shadow Of Light,2.44,29.89,L,-29.89,215.2072
2025-09-13T15:22:31.132850+01:00,1.247658899,1m Hcap,Lingfield 13th Sep,2025-09-13 14:13:00+00:00,4,Elvetham,4.7,44.84,L,-44.84,170.3672
2025-09-13T15:39:01.364473+01:00,1.247658972,2m1f Hcap,Bath 13th Sep,2025-09-13 14:28:00+00:00,5,Rupert The Prince,2.26,73.99,L,-73.99,96.3772
2025-09-13T15:56:30.774783+01:00,1.247660603,1m4f Grp 3,Leopardstown 13th Sep,2025-09-13 14:50:00+00:00,6,Al Aasy,2.46,96.3772,L,-96.3772,0.0
