timestamp,market_id,race_name,track,date,leg,selection,odds,stake,result,profit,balance
2025-08-24T14:01:33.207121+01:00,1.246958040,7f Mdn,Naas 24th Aug,2025-08-24 12:40:00+00:00,1,Elly Bay,4.1,8.8,L,-8.8,211.2
2025-08-24T14:11:01.064597+01:00,1.246953502,1m2f Hcap,Beverley 24th Aug,2025-08-24 13:05:00+00:00,2,Mafting,3.2,13.2,L,-13.2,198.0
2025-08-24T14:23:01.035592+01:00,1.246958045,6f Mdn,Naas 24th Aug,2025-08-24 13:15:00+00:00,3,Dawn Romance,2.28,21.78,W,27.878399999999996,225.8784
2025-08-24T14:31:30.885482+01:00,1.246953549,7f Grp 3,Goodwood 24th Aug,2025-08-24 13:25:00+00:00,1,Moon Target,2.86,9.04,L,-9.04,216.8384
2025-08-24T14:50:00.841840+01:00,1.246953470,7f Nov Stks,Yarmouth 24th Aug,2025-08-24 13:45:00+00:00,2,Explosion,2.76,14.92,L,-14.92,201.91840000000002
2025-08-24T15:16:01.031899+01:00,1.246953515,5f Nursery,Beverley 24th Aug,2025-08-24 14:10:00+00:00,3,Gaga Mate,2.94,24.62,L,-24.62,177.29840000000002
2025-08-24T15:32:01.428767+01:00,1.246958055,6f Grp 3,Naas 24th Aug,2025-08-24 14:25:00+00:00,4,Sky Majesty,2.14,51.14,W,58.299600000000005,235.598
2025-08-24T15:42:01.198115+01:00,1.246953561,1m Grp 2,Goodwood 24th Aug,2025-08-24 14:35:00+00:00,1,Make Me King,3.95,9.43,L,-9.43,226.168
2025-08-24T15:53:31.449873+01:00,1.246953522,7f Mdn Stks,Beverley 24th Aug,2025-08-24 14:45:00+00:00,2,Ten Sixty Six,3.25,14.15,L,-14.15,212.018
2025-08-24T16:02:31.029832+01:00,1.246953483,1m Hcap,Yarmouth 24th Aug,2025-08-24 14:55:00+00:00,3,City Of York,3.15,21.23,L,-21.23,190.788
2025-08-24T16:17:01.271646+01:00,1.246953567,1m Nov Stks,Goodwood 24th Aug,2025-08-24 15:10:00+00:00,4,Kings Trust,3.25,31.85,L,-31.85,158.93800000000002
2025-08-24T16:25:30.970691+01:00,1.246953529,1m Hcap,Beverley 24th Aug,2025-08-24 15:20:00+00:00,5,Mudamer,4.5,47.78,L,-47.78,111.15800000000002
2025-08-24T16:42:31.300963+01:00,1.246958065,1m2f Hcap,Naas 24th Aug,2025-08-24 15:35:00+00:00,6,Elusive Duke,5.8,111.15800000000002,L,-111.15800000000002,0.0
