timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-30 13:49:30,Cork,5f Mdn,2025-09-30 13:45:00,85557496,Tornado Kiss,1.88,WON
2025-09-30 14:06:00,Ayr,1m App Hcap,2025-09-30 14:00:00,82025208,Dwindling Funds,3.8,WON
2025-09-30 14:15:31,Sedgefield,2m1f Hcap Hrd,2025-09-30 14:07:00,61225649,Fairly Fulling,4.0,LOST
2025-09-30 14:23:31,Cork,6f Nursery,2025-09-30 14:15:00,86948484,Soy El Fuego,5.9,LOST
2025-09-30 14:30:31,Bath,1m2f Hcap,2025-09-30 14:22:00,74399372,Stipulation,4.7,LOST
2025-09-30 14:37:00,Ayr,6f Mdn Stks,2025-09-30 14:30:00,85294064,Jeddaal,1.93,LOST
2025-09-30 14:43:00,Sedgefield,2m1f Mdn Hrd,2025-09-30 14:37:00,75978140,Ammes,1.41,WON
2025-09-30 14:52:01,Cork,6f Hcap,2025-09-30 14:45:00,22202483,Amicitia,3.8,LOST
2025-09-30 15:00:31,Bath,1m5f Hcap,2025-09-30 14:52:00,1063073,Harlington,5.0,LOST
2025-09-30 15:07:30,Ayr,1m2f Hcap,2025-09-30 15:00:00,81862449,Obito,3.0,LOST
2025-09-30 15:16:01,Sedgefield,2m5f Hcap Chs,2025-09-30 15:07:00,74504587,Moonshine Man,2.66,LOST
2025-09-30 15:22:31,Cork,6f Hcap,2025-09-30 15:15:00,40388564,Ukiyo,4.5,WON
2025-09-30 15:30:01,Bath,1m Hcap,2025-09-30 15:22:00,35792174,Thapa Vc,5.1,WON
2025-09-30 15:37:00,Ayr,7f Hcap,2025-09-30 15:30:00,27699876,Quest For Fun,3.0,LOST
2025-09-30 15:45:01,Sedgefield,2m4f Hcap Hrd,2025-09-30 15:37:00,36938829,Zamond,3.1,WON
2025-09-30 15:54:01,Cork,1m Mdn,2025-09-30 15:45:00,85755964,River Ara,2.5,LOST
2025-09-30 15:59:01,Bath,1m Hcap,2025-09-30 15:52:00,56330237,Havana Mojito,6.2,LOST
2025-09-30 16:06:00,Ayr,7f Hcap,2025-09-30 16:00:00,40401159,Jkr Cobbler,4.9,WON
2025-09-30 16:21:01,Sedgefield,2m Hcap Chs,2025-09-30 16:07:00,74275955,Delpotro,2.52,LOST
2025-09-30 16:22:31,Cork,1m2f Listed,2025-09-30 16:15:00,76676755,Purview,4.1,WON
2025-09-30 16:28:00,Bath,1m Nov Stks,2025-09-30 16:22:00,11916068,Item,1.82,WON
2025-09-30 16:40:31,Ayr,6f Hcap,2025-09-30 16:30:00,161669,Montezuma,4.7,LOST
2025-09-30 16:50:01,Sedgefield,2m1f NHF,2025-09-30 16:37:00,85482666,Siouxfonic,2.72,WON
2025-09-30 16:53:00,Cork,1m Hcap,2025-09-30 16:45:00,71525965,Sujet,4.5,LOST
2025-09-30 16:58:30,Bath,5f Hcap,2025-09-30 16:52:00,70754962,Hk Fourteen,4.5,WON
2025-09-30 17:05:30,Newcastle,1m2f Hcap,2025-09-30 17:00:00,67992236,Hashtagnotions,4.7,LOST
2025-09-30 17:13:31,Ayr,1m7f Hcap,2025-09-30 17:05:00,42822056,Just Dottie,2.28,LOST
2025-09-30 17:28:31,Cork,1m Hcap,2025-09-30 17:20:00,54881004,Famous Enough,5.2,LOST
2025-09-30 17:34:31,Bath,6f Nursery,2025-09-30 17:25:00,84080038,Walk On Walk On,4.7,LOST
2025-09-30 17:38:01,Newcastle,2m Hcap,2025-09-30 17:30:00,71447028,Navid,1.4,LOST
2025-09-30 18:03:00,Bath,6f Hcap,2025-09-30 17:55:00,145113,On Edge,6.4,WON
2025-09-30 18:05:30,Newcastle,6f Nov Stks,2025-09-30 18:00:00,20121812,Hello Goodbye,1.91,WON
2025-09-30 18:34:30,Newcastle,7f Mdn Stks,2025-09-30 18:30:00,88088325,Golden Conqueror,2.02,WON
2025-09-30 18:37:31,Bath,1m2f Arab Hcap,2025-09-30 18:25:00,69175046,Mobaasher A,4.7,LOST
2025-09-30 19:07:01,Newcastle,7f Nursery,2025-09-30 19:00:00,7153026,Thanos,2.94,LOST
2025-09-30 19:37:01,Newcastle,1m Hcap,2025-09-30 19:30:00,45720432,Barleybrown,4.1,LOST
2025-09-30 20:04:30,Newcastle,7f Hcap,2025-09-30 20:00:00,69684787,Penelope Valentine,2.32,LOST
2025-09-30 20:34:00,Newcastle,6f Hcap,2025-09-30 20:30:00,886325,The Green Man,5.3,WON
