timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-24 13:47:01,Redcar,1m Nursery,2025-09-24 13:40:00,85381077,Lynxman,4.5,LOST
2025-09-24 14:12:32,Goodwood,1m2f Cond Stks,2025-09-24 13:50:00,71446972,Royal Playwright,1.85,WON
2025-09-24 14:15:01,Listowel,2m Mdn Hrd,2025-09-24 14:05:00,77705236,Ill Sort That,2.14,WON
2025-09-24 14:21:31,Redcar,6f Nursery,2025-09-24 14:15:00,85419008,Mossvale Diva,3.15,LOST
2025-09-24 14:31:30,Goodwood,1m2f Mdn Stks,2025-09-24 14:25:00,87222234,Bay Of Brilliance,2.2,WON
2025-09-24 14:42:01,Perth,2m Nov Hrd,2025-09-24 14:33:00,75978220,Wandering Ego,2.84,LOST
2025-09-24 14:47:31,Listowel,2m Nov Hrd,2025-09-24 14:40:00,832048,Davy Crockett,1.78,WON
2025-09-24 14:57:01,Redcar,7f Nov Stks,2025-09-24 14:50:00,87468879,Inishbeg,2.5,LOST
2025-09-24 15:08:01,Goodwood,1m Hcap,2025-09-24 15:00:00,27789859,Alpha Crucis,5.5,LOST
2025-09-24 15:17:31,Perth,2m4f Hcap Hrd,2025-09-24 15:08:00,13375730,Moonbow,5.6,WON
2025-09-24 15:31:31,Listowel,2m2f Hcap Hrd,2025-09-24 15:15:00,82168384,Bearami Creek,4.2,LOST
2025-09-24 15:32:01,Redcar,7f Nov Stks,2025-09-24 15:25:00,72454022,Hostility,1.77,LOST
2025-09-24 15:44:01,Goodwood,1m2f Listed Stks,2025-09-24 15:35:00,77742655,Saddadd,2.46,LOST
2025-09-24 15:49:30,Perth,2m Hcap Hrd,2025-09-24 15:43:00,46249994,Pure Gold,4.7,WON
2025-09-24 16:06:31,Listowel,3m Hcap Hrd,2025-09-24 15:50:00,68579593,Bitofajokelike,4.7,LOST
2025-09-24 16:10:01,Kempton,1m3f Hcap,2025-09-24 15:58:00,4678428,Golden Dove,4.8,LOST
2025-09-24 16:10:31,Redcar,1m2f Hcap,2025-09-24 16:03:00,73963555,Magellan Cloud,5.1,LOST
2025-09-24 16:26:01,Perth,3m Hcap Chs,2025-09-24 16:15:00,14857995,Statuario,3.45,WON
2025-09-24 16:26:32,Goodwood,7f Stks,2025-09-24 16:10:00,84670728,Timeforshowcasing,5.8,WON
2025-09-24 16:40:32,Listowel,3m Hcap Chs,2025-09-24 16:23:00,46394123,You Oughta Know,5.7,LOST
2025-09-24 16:41:31,Kempton,1m Nov Stks,2025-09-24 16:30:00,28679281,I Can Dance,2.42,LOST
2025-09-24 16:44:01,Redcar,5f Hcap,2025-09-24 16:35:00,61601121,Monks Dream,4.3,LOST
2025-09-24 16:53:00,Goodwood,1m6f Hcap,2025-09-24 16:45:00,17327789,Finalise,2.94,LOST
2025-09-24 17:00:01,Perth,2m4f Hcap Chs,2025-09-24 16:50:00,54650464,Pescatorius,2.42,LOST
2025-09-24 17:09:01,Listowel,2m3f Nov Chs,2025-09-24 16:58:00,12658773,Zenta,4.2,LOST
2025-09-24 17:13:31,Kempton,1m Hcap,2025-09-24 17:05:00,65772795,Hilltop,2.84,LOST
2025-09-24 17:21:31,Redcar,7f Hcap,2025-09-24 17:10:00,62228344,Lumenbourg,4.2,LOST
2025-09-24 17:25:30,Goodwood,6f Hcap,2025-09-24 17:20:00,73271397,Rory Rocket,5.7,LOST
2025-09-24 17:35:31,Perth,3m Nov Hcap Hrd,2025-09-24 17:25:00,28498,Stiletto,4.8,WON
2025-09-24 17:43:01,Listowel,2m4f INHF,2025-09-24 17:33:00,86601800,Apache Tribe,2.9,WON
2025-09-24 17:50:01,Kempton,6f Nov Stks,2025-09-24 17:40:00,13166462,Angel Love,1.77,LOST
2025-09-24 17:55:01,Redcar,7f Hcap,2025-09-24 17:45:00,72962946,Pearly Squirrel,4.4,LOST
2025-09-24 18:18:49,Kempton,1m3f Hcap,2025-09-24 18:10:00,577860,Wine Dark Sea,4.3,LOST
2025-09-24 18:49:01,Kempton,7f Hcap,2025-09-24 18:40:00,10107354,Dixieland Blues,3.9,WON
2025-09-24 19:15:30,Kempton,7f Hcap,2025-09-24 19:10:00,13858,One More,4.4,LOST
2025-09-24 19:46:31,Kempton,7f Hcap,2025-09-24 19:40:00,70053070,Spirit Lead Me,4.6,WON
2025-09-24 20:16:01,Kempton,6f Hcap,2025-09-24 20:10:00,74674825,Initial Blue,4.8,LOST
