timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-08-22 13:00:31,Newmarket,6f Hcap,2025-08-22 12:50:00,58787847,Dorney Lake,3.55,LOST
2025-08-22 13:27:01,Newmarket,6f Listed,2025-08-22 13:20:00,39580324,Lethal Levi,4.3,WON
2025-08-22 13:58:00,York,1m4f Hcap,2025-08-22 13:50:00,68245509,Mount Atlas,2.96,LOST
2025-08-22 14:20:01,Ffos Las,2m Hcap,2025-08-22 14:10:00,71447028,Navid,1.73,LOST
2025-08-22 14:34:31,York,2m Grp 2,2025-08-22 14:25:00,2554281,Trawlerman,1.93,WON
2025-08-22 14:47:01,Newmarket,7f Nov Stks,2025-08-22 14:35:00,1033226,Monoceros,2.56,WON
2025-08-22 14:51:00,Ffos Las,7f Nov Stks,2025-08-22 14:45:00,85791138,Lost Signal,1.74,WON
2025-08-22 15:07:01,York,6f Grp 2,2025-08-22 15:00:00,83654051,Do Or Do Not,3.2,LOST
2025-08-22 15:18:01,Newmarket,6f Hcap,2025-08-22 15:10:00,10243790,Arabian Leopard,3.55,LOST
2025-08-22 15:25:00,Ffos Las,7f Hcap,2025-08-22 15:20:00,28925618,Windsor Pass,2.98,LOST
2025-08-22 15:44:31,York,5f Grp 1,2025-08-22 15:35:00,67168370,Arizona Blaze,7.0,LOST
2025-08-22 15:53:31,Newmarket,1m2f Hcap,2025-08-22 15:45:00,245405,Arundel,3.0,LOST
2025-08-22 16:00:30,Ffos Las,7f Hcap,2025-08-22 15:55:00,71661999,On A Vespa,3.1,WON
2025-08-22 16:20:31,York,1m2f Hcap,2025-08-22 16:10:00,12696756,Zgharta,3.3,LOST
2025-08-22 16:31:01,Newmarket,1m4f Hcap,2025-08-22 16:20:00,74823461,Venezuelan,1.59,LOST
2025-08-22 16:37:01,Ffos Las,1m2f Stks,2025-08-22 16:30:00,48500509,The Pug,3.5,WON
2025-08-22 16:51:30,York,7f Mdn Stks,2025-08-22 16:45:00,83846567,Naval Light,4.3,LOST
2025-08-22 16:59:01,Kilbeggan,2m Mdn Hrd,2025-08-22 16:50:00,75497687,Kabylia,2.6,LOST
2025-08-22 17:06:00,Ffos Las,1m4f Hcap,2025-08-22 17:00:00,63615664,Moab,3.2,LOST
2025-08-22 17:14:01,Hamilton,1m Mdn Stks,2025-08-22 17:05:00,86905824,August George,1.74,WON
2025-08-22 17:16:00,Killarney,1m Nursery,2025-08-22 17:10:00,83686487,Invincible Will,3.75,LOST
2025-08-22 17:21:30,Goodwood,1m1f Hcap,2025-08-22 17:15:00,66168084,Risen Again,3.8,LOST
2025-08-22 17:29:31,York,1m Hcap,2025-08-22 17:20:00,549657,Fifth Column,5.0,WON
2025-08-22 17:33:31,Kilbeggan,2m3f Nov Hrd,2025-08-22 17:25:00,50961876,Avondale,3.95,LOST
2025-08-22 17:42:31,Hamilton,1m1f Hcap,2025-08-22 17:35:00,82550990,Seren Star,1.81,WON
2025-08-22 17:47:00,Killarney,1m Stks,2025-08-22 17:41:00,71525965,Sujet,2.36,WON
2025-08-22 17:55:01,Goodwood,6f Mdn Stks,2025-08-22 17:48:00,86834837,Enha,3.05,LOST
2025-08-22 18:03:31,Kilbeggan,2m3f Hcap Hrd,2025-08-22 17:55:00,59054751,Smiling Bess,4.0,LOST
2025-08-22 18:10:30,Hamilton,1m3f Nov Stks,2025-08-22 18:05:00,72033622,Tiernan,1.26,LOST
2025-08-22 18:17:30,Killarney,1m Listed,2025-08-22 18:11:00,69557373,Fiery Lucy,3.6,LOST
2025-08-22 18:24:30,Goodwood,1m Hcap,2025-08-22 18:18:00,41411046,Atlantis Blue,2.62,LOST
2025-08-22 18:35:31,Kilbeggan,3m1f Mdn Hrd,2025-08-22 18:25:00,41935092,Quantum Quest,1.87,WON
2025-08-22 18:42:31,Hamilton,1m4f Hcap,2025-08-22 18:35:00,9648,Defiance,3.2,LOST
2025-08-22 18:49:31,Killarney,1m Hcap,2025-08-22 18:41:00,70113642,Vegas Muse,7.2,WON
2025-08-22 18:57:31,Goodwood,1m4f Hcap,2025-08-22 18:48:00,78060262,Sound Janet,4.4,LOST
2025-08-22 19:06:01,Kilbeggan,3m2f Hcap Chs,2025-08-22 18:55:00,72322095,Hit The Frame,6.2,LOST
2025-08-22 19:18:00,Killarney,1m6f Hcap,2025-08-22 19:11:00,82651759,Kilmeaden,5.3,LOST
2025-08-22 19:23:00,Goodwood,5f Hcap,2025-08-22 19:18:00,145113,On Edge,4.2,LOST
2025-08-22 19:25:02,Hamilton,5f Hcap,2025-08-22 19:05:00,72592644,Naanas Sparkle,3.5,LOST
2025-08-22 19:37:01,Kilbeggan,3m2f Hcap Chs,2025-08-22 19:25:00,42866969,Bal Kauto,2.46,WON
2025-08-22 19:46:01,Hamilton,6f Hcap,2025-08-22 19:35:00,57238336,The Good Biscuit,3.4,LOST
2025-08-22 19:49:31,Killarney,1m6f Hcap,2025-08-22 19:41:00,25244542,Bear Creek,3.3,LOST
2025-08-22 19:56:31,Goodwood,6f Hcap,2025-08-22 19:48:00,13095708,Hunky Dory,5.1,LOST
2025-08-22 20:02:00,Kilbeggan,2m INHF,2025-08-22 19:55:00,68799505,Sellerna Bay,2.38,LOST
2025-08-22 20:13:31,Hamilton,5f Hcap,2025-08-22 20:05:00,55581778,South Shore,4.1,LOST
2025-08-22 20:22:01,Killarney,2m1f Stks,2025-08-22 20:15:00,27082247,Enniskerry,2.96,LOST
