timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-26 13:19:31,Worcester,2m7f Nov Chs,2025-09-26 13:07:00,54379222,Coco Mademoiselle,1.29,WON
2025-09-26 13:23:31,Newmarket,1m Listed,2025-09-26 13:15:00,72592655,Elwateen,4.0,LOST
2025-09-26 13:35:09,Listowel,2m2f Mdn Hrd,2025-09-26 13:23:00,79407302,Frankie John,1.81,LOST
2025-09-26 13:45:31,Worcester,2m Hcap Chs,2025-09-26 13:37:00,76887983,Rocks Up Late,4.0,LOST
2025-09-26 14:04:31,Newmarket,1m4f Grp 3,2025-09-26 13:50:00,83392069,Spirited Style,2.88,LOST
2025-09-26 14:08:01,Listowel,2m2f Hcap Hrd,2025-09-26 13:58:00,45646415,Half A Chance,6.2,LOST
2025-09-26 14:19:31,Worcester,2m4f Nov Hcap Chs,2025-09-26 14:07:00,68169306,Traveling Soldier,3.8,LOST
2025-09-26 14:22:31,Haydock,1m2f Hcap,2025-09-26 14:15:00,70257943,Cotswold Cottage,2.82,WON
2025-09-26 14:32:00,Newmarket,7f Grp 2,2025-09-26 14:25:00,86793010,Touleen,2.14,LOST
2025-09-26 14:43:31,Listowel,2m Hcap Hrd,2025-09-26 14:33:00,53227968,Mount Ferns,3.35,LOST
2025-09-26 14:51:01,Worcester,2m4f Nov Hcap Hrd,2025-09-26 14:42:00,16836952,Dream Diamond,3.8,LOST
2025-09-26 14:56:30,Haydock,6f Nov Stks,2025-09-26 14:50:00,87999514,Monarchs Gold,2.36,LOST
2025-09-26 15:07:31,Newmarket,1m Grp 2,2025-09-26 15:00:00,79471566,Opera Ballo,1.99,LOST
2025-09-26 15:16:31,Listowel,2m Listed Hcap Hrd,2025-09-26 15:08:00,60421552,Casheldale Lad,6.0,WON
2025-09-26 15:26:31,Worcester,2m4f Mdn Hrd,2025-09-26 15:17:00,82831851,Ice In The Veins,1.65,LOST
2025-09-26 15:32:31,Haydock,5f Nursery,2025-09-26 15:25:00,68699088,Lil Brother,5.0,LOST
2025-09-26 15:43:01,Newmarket,1m4f Listed,2025-09-26 15:35:00,308760,By The Book,2.82,LOST
2025-09-26 15:54:01,Listowel,2m6f Hcap Hrd,2025-09-26 15:43:00,60621996,Tropical Image,5.7,WON
2025-09-26 16:02:01,Worcester,2m7f Hcap Hrd,2025-09-26 15:52:00,70580870,Theatre Of Flight,2.44,WON
2025-09-26 16:08:31,Haydock,7f Nov Stks,2025-09-26 16:00:00,497932,Poker,2.52,LOST
2025-09-26 16:20:01,Newmarket,7f Mdn Stks,2025-09-26 16:10:00,87780950,Beccadelli,3.5,LOST
2025-09-26 16:35:32,Listowel,2m3f Hcap Chs,2025-09-26 16:18:00,41681854,Crowsatedappletart,5.7,LOST
2025-09-26 16:37:01,Worcester,2m Hcap Hrd,2025-09-26 16:27:00,36573593,Turpin Gold,3.05,LOST
2025-09-26 16:41:00,Haydock,7f Hcap,2025-09-26 16:35:00,12257339,Leadman,2.88,LOST
2025-09-26 16:45:30,Dundalk,6f Mdn,2025-09-26 16:40:00,13426507,Best Suggestion,2.74,WON
2025-09-26 16:53:31,Newmarket,1m1f Hcap,2025-09-26 16:45:00,85725309,Mezcala,5.9,LOST
2025-09-26 17:01:31,Listowel,2m INHF,2025-09-26 16:52:00,81578720,Celestial Tune,4.2,WON
2025-09-26 17:10:31,Newcastle,1m4f Hcap,2025-09-26 17:00:00,81862447,Cecilia Star,3.4,LOST
2025-09-26 17:18:00,Haydock,1m6f Hcap,2025-09-26 17:10:00,84746678,Klassleader,3.1,LOST
2025-09-26 17:23:31,Dundalk,6f App Hcap,2025-09-26 17:15:00,72820303,Carrigans Grove,5.8,LOST
2025-09-26 17:36:00,Newcastle,1m2f Hcap,2025-09-26 17:30:00,67801042,Wyld Bill,3.7,LOST
2025-09-26 17:41:02,Listowel,1m6f INHF,2025-09-26 17:25:00,55177889,Sorrentino,2.74,LOST
2025-09-26 17:46:00,Haydock,1m6f Hcap,2025-09-26 17:40:00,57569279,Letmebetheboss,5.1,WON
2025-09-26 17:51:30,Dundalk,7f Mdn,2025-09-26 17:45:00,53513732,Yellowstone Lake,2.46,WON
2025-09-26 18:06:01,Newcastle,6f Nov Stks,2025-09-26 18:00:00,85758802,Creative Queen,1.61,LOST
2025-09-26 18:22:31,Dundalk,1m Hcap,2025-09-26 18:15:00,5443529,Venetian,4.3,LOST
2025-09-26 18:39:31,Newcastle,6f Nursery,2025-09-26 18:30:00,86360080,Marthas Shadow,4.7,LOST
2025-09-26 18:55:01,Dundalk,1m Hcap,2025-09-26 18:45:00,55414790,Sierra De Gredos,3.05,LOST
2025-09-26 19:05:30,Newcastle,1m Nov Stks,2025-09-26 19:00:00,87264494,Livonian,2.34,LOST
2025-09-26 19:23:01,Dundalk,1m2f Listed Stks,2025-09-26 19:15:00,2350861,Phantom Flight,5.7,WON
2025-09-26 19:35:30,Newcastle,7f Hcap,2025-09-26 19:30:00,82388712,Reenies Dream,3.9,LOST
2025-09-26 19:52:31,Dundalk,1m2f Hcap,2025-09-26 19:45:00,80656638,Quickshot,4.7,WON
2025-09-26 20:06:00,Newcastle,5f Hcap,2025-09-26 20:00:00,55753748,Missmimi,3.8,LOST
2025-09-26 20:22:01,Dundalk,1m4f Hcap,2025-09-26 20:15:00,436684,Chopsticks,5.4,LOST
2025-09-26 20:35:00,Newcastle,1m Hcap,2025-09-26 20:30:00,70755016,Izzari,3.55,LOST
