timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-08-20 14:02:31,York,5f Hcap,2025-08-20 13:50:00,57047836,Vantheman,8.8,LOST
2025-08-20 14:15:31,Carlisle,6f Nov Stks,2025-08-20 14:05:00,541444,Gwen John,1.47,LOST
2025-08-20 14:34:01,York,7f Grp 3,2025-08-20 14:25:00,54812,Distant Storm,2.26,LOST
2025-08-20 14:48:01,Carlisle,6f Hcap,2025-08-20 14:40:00,72592649,Sole Spirit,3.7,LOST
2025-08-20 15:07:31,York,1m4f Grp 2,2025-08-20 15:00:00,12163870,Lambourn,1.87,LOST
2025-08-20 15:22:01,Carlisle,1m3f Hcap,2025-08-20 15:15:00,71731012,Sidney Stratton,3.3,LOST
2025-08-20 15:44:31,York,1m2f Grp 1,2025-08-20 15:35:00,188385,Ombudsman,2.88,WON
2025-08-20 15:56:00,Carlisle,7f Hcap,2025-08-20 15:50:00,46712037,Vince Le Prince,4.3,LOST
