timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-09 14:06:31,Newton Abbot,2m1f Juv Hrd,2025-09-09 13:58:00,1368753,Lord,1.61,WON
2025-09-09 14:19:01,Catterick,1m6f Hcap,2025-09-09 14:10:00,28618415,Bollin Neil,2.86,LOST
2025-09-09 14:26:00,Leicester,1m2f Hcap,2025-09-09 14:20:00,56630,Hibernate,5.0,LOST
2025-09-09 14:40:01,Newton Abbot,2m1f Nov Hrd,2025-09-09 14:28:00,50216503,Jack Hyde,1.16,WON
2025-09-09 14:47:01,Catterick,5f Hcap,2025-09-09 14:40:00,46250274,Thankuappreciate,4.3,LOST
2025-09-09 14:58:01,Leicester,7f Nov Stks,2025-09-09 14:50:00,85758801,Zanthos,1.44,LOST
2025-09-09 15:08:01,Newton Abbot,2m5f Hcap Chs,2025-09-09 14:58:00,49671718,Imperial Measure,2.56,LOST
2025-09-09 15:17:01,Catterick,6f Nursery,2025-09-09 15:10:00,82551104,Maasai Mata,3.95,WON
2025-09-09 15:27:00,Leicester,7f Nursery,2025-09-09 15:20:00,83880838,Kuu,2.76,WON
2025-09-09 15:41:02,Newton Abbot,3m2f Hcap Hrd,2025-09-09 15:28:00,78729003,Jacks Jury,3.75,LOST
2025-09-09 15:45:30,Catterick,6f Mdn Stks,2025-09-09 15:40:00,70113658,U Sure Do,1.26,WON
2025-09-09 15:58:31,Leicester,7f Nov Stks,2025-09-09 15:50:00,1033226,Monoceros,1.55,LOST
2025-09-09 16:05:30,Newton Abbot,2m1f Hcap Hrd,2025-09-09 15:58:00,2799063,Its All About You,2.84,LOST
2025-09-09 16:12:00,Galway,1m Mdn,2025-09-09 16:05:00,45257608,Piazza San Marco,2.6,WON
2025-09-09 16:14:00,Catterick,6f Hcap,2025-09-09 16:10:00,7198648,Dream Deal,4.5,WON
2025-09-09 16:22:31,Carlisle,6f Nov Stks,2025-09-09 16:15:00,85518839,Isle Of Fernandez,1.48,WON
2025-09-09 16:25:00,Ffos Las,6f Nursery,2025-09-09 16:20:00,16551587,Wojtek,2.68,LOST
2025-09-09 16:31:30,Leicester,5f Hcap,2025-09-09 16:25:00,58109151,Fenlander,3.95,LOST
2025-09-09 16:38:00,Newton Abbot,2m Hcap Chs,2025-09-09 16:30:00,116847,Juggernaut,2.04,LOST
2025-09-09 16:42:30,Galway,1m Stks,2025-09-09 16:35:00,15905,Genuine Article,2.6,LOST
2025-09-09 16:48:31,Catterick,7f Hcap,2025-09-09 16:40:00,74238891,Ey Up Hes A Star,3.75,LOST
2025-09-09 16:53:01,Carlisle,6f Nursery,2025-09-09 16:45:00,83539439,Dabbling,4.0,LOST
2025-09-09 16:55:00,Ffos Las,6f Hcap,2025-09-09 16:50:00,24882841,Punchbowl Flyer,3.0,LOST
2025-09-09 17:02:00,Leicester,1m2f Hcap,2025-09-09 16:55:00,2229905,Inquisition,3.9,LOST
2025-09-09 17:09:01,Newton Abbot,2m1f NHF,2025-09-09 17:00:00,85029589,Axel Bleue,1.6,WON
2025-09-09 17:10:30,Galway,1m Hcap,2025-09-09 17:05:00,70085619,Tilani,3.75,LOST
2025-09-09 17:16:00,Catterick,7f Hcap,2025-09-09 17:10:00,59505646,Emerald Army,4.3,LOST
2025-09-09 17:21:30,Carlisle,6f Hcap,2025-09-09 17:15:00,56366478,Edgewater Drive,5.2,LOST
2025-09-09 17:28:01,Ffos Las,7f Mdn Stks,2025-09-09 17:20:00,88258714,Spanish Waltz,3.6,LOST
2025-09-09 17:31:31,Leicester,6f Hcap,2025-09-09 17:25:00,70332922,My Awele,4.0,LOST
2025-09-09 17:41:01,Galway,7f Mdn,2025-09-09 17:35:00,86321184,Cherry Hill Girl,2.68,LOST
2025-09-09 17:54:31,Carlisle,5f Hcap,2025-09-09 17:45:00,10116355,Chief Of State,4.1,LOST
2025-09-09 18:04:01,Ffos Las,7f Mdn Stks,2025-09-09 17:55:00,82550986,Cosmo Goodspeed,2.78,LOST
2025-09-09 18:18:01,Galway,7f Hcap,2025-09-09 18:05:00,40980710,Racing Royalty,7.4,LOST
2025-09-09 18:27:31,Carlisle,1m3f Mdn Stks,2025-09-09 18:15:00,62754,Thosewerethedays,1.94,WON
2025-09-09 18:29:30,Ffos Las,1m2f Hcap,2025-09-09 18:25:00,4038621,Buck Barrow,4.8,LOST
2025-09-09 18:42:01,Galway,1m4f Listed Stks,2025-09-09 18:35:00,49903811,La Isla Mujeres,3.65,WON
2025-09-09 18:52:31,Carlisle,1m Hcap,2025-09-09 18:45:00,78408450,Lunanova,5.0,LOST
2025-09-09 19:02:01,Ffos Las,1m6f Hcap,2025-09-09 18:55:00,75281328,Gnomon,3.05,LOST
2025-09-09 19:19:02,Galway,1m4f Hcap,2025-09-09 19:05:00,24668532,Rain,5.6,WON
2025-09-09 19:23:01,Carlisle,7f Hcap,2025-09-09 19:15:00,53102242,One Night Thunder,1.9,WON
2025-09-09 19:32:01,Ffos Las,7f Hcap,2025-09-09 19:25:00,45677362,Golden Pharaoh,3.95,WON
2025-09-09 19:41:01,Galway,1m4f Mdn,2025-09-09 19:35:00,88237684,Sharanga,2.52,WON
