timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-20 13:07:31,Newmarket,1m Nov Stks,2025-09-20 13:00:00,282039,Romantic Symphony,2.14,WON
2025-09-20 13:25:01,Ayr,1m Hcap,2025-09-20 13:15:00,58644476,Apiarist,7.8,LOST
2025-09-20 13:36:01,Navan,2m Mdn Hrd,2025-09-20 13:25:00,2857729,Powerful,5.0,LOST
2025-09-20 13:38:00,Newbury,5f Grp 3,2025-09-20 13:30:00,48532,Shagraan,4.8,LOST
2025-09-20 13:44:31,Newmarket,1m Hcap,2025-09-20 13:35:00,1348587,Charming Princess,3.7,LOST
2025-09-20 13:46:00,Gowran Park,1m Mdn,2025-09-20 13:42:00,33006,Ice Dancer,2.18,WON
2025-09-20 13:56:30,Ayr,1m2f Listed,2025-09-20 13:50:00,73929075,ALMERIC,2.92,WON
2025-09-20 14:00:30,Chester,7f Nursery,2025-09-20 13:55:00,2513164,Dubai Time,4.5,WON
2025-09-20 14:09:31,Navan,2m Hcap Hrd,2025-09-20 14:00:00,49073802,St Faz,3.15,LOST
2025-09-20 14:14:01,Newbury,1m5f Hcap,2025-09-20 14:05:00,3847929,Castle Cove,3.7,LOST
2025-09-20 14:16:00,Newmarket,7f Hcap,2025-09-20 14:10:00,56297028,Daring Legend,7.0,WON
2025-09-20 14:22:31,Gowran Park,1m Mdn,2025-09-20 14:17:00,86669122,Christmas Day,2.1,WON
2025-09-20 14:37:30,Chester,6f Nov Stks,2025-09-20 14:30:00,2061271,Callahan,3.55,LOST
2025-09-20 14:38:01,Ayr,6f Hcap,2025-09-20 14:25:00,12456255,Nariko,6.4,LOST
2025-09-20 14:47:31,Navan,2m3f Mdn Hrd,2025-09-20 14:35:00,986466,County Final,2.4,WON
2025-09-20 14:50:00,Newmarket,6f Hcap,2025-09-20 14:45:00,77705048,Golden Redemption,4.5,LOST
2025-09-20 14:52:31,Newbury,1m2f Hcap,2025-09-20 14:40:00,69142469,Theory Of Tides,6.2,LOST
2025-09-20 14:57:30,Gowran Park,1m1f Grp 3,2025-09-20 14:52:00,81615074,Faiyum,2.0,WON
2025-09-20 15:07:00,Ayr,6f Grp 3,2025-09-20 15:00:00,10103453,Coming Attraction,5.7,LOST
2025-09-20 15:12:00,Chester,7f Stks,2025-09-20 15:05:00,60392590,Al Shabab Storm,3.25,LOST
2025-09-20 15:21:31,Navan,2m3f Hcap Hrd,2025-09-20 15:10:00,41848125,Rebellious Gale,6.0,LOST
2025-09-20 15:25:00,Newmarket,6f Hcap,2025-09-20 15:20:00,78024417,Coul Angel,3.7,WON
2025-09-20 15:26:01,Newbury,6f Grp 2,2025-09-20 15:15:00,84080034,Rock On Thunder,2.94,LOST
2025-09-20 15:34:00,Gowran Park,1m Hcap,2025-09-20 15:27:00,73656099,Ohmali,4.9,WON
2025-09-20 15:46:31,Ayr,6f Hcap,2025-09-20 15:35:00,46579424,Purosangue,6.6,LOST
2025-09-20 15:48:00,Chester,5f Hcap,2025-09-20 15:40:00,18889960,Count Dorsay,3.2,LOST
2025-09-20 15:56:31,Navan,2m3f Hcap Hrd,2025-09-20 15:45:00,62228248,Juke Box Rock,5.6,LOST
2025-09-20 16:01:31,Newbury,7f Nov Stks,2025-09-20 15:50:00,87780951,Sticktoyourguns,2.9,LOST
2025-09-20 16:06:01,Newmarket,2m2f Hcap,2025-09-20 15:55:00,12886550,Belgravian,2.66,LOST
2025-09-20 16:11:01,Gowran Park,1m Hcap,2025-09-20 16:03:00,59331244,Pandion Power,6.0,LOST
2025-09-20 16:15:00,Ayr,7f Nov Stks,2025-09-20 16:10:00,28500351,Nobody Knows,2.5,WON
2025-09-20 16:20:30,Chester,5f Hcap,2025-09-20 16:15:00,47471182,Jer Batt,2.82,LOST
2025-09-20 16:23:00,Wolverhampton,1m1f Nursery,2025-09-20 16:19:00,12914677,Midnight Rodeo,1.84,WON
2025-09-20 16:36:01,Navan,2m5f Mdn Hrd,2025-09-20 16:20:00,78026732,Eclipse Chaser,2.1,WON
2025-09-20 16:37:01,Newbury,7f Hcap,2025-09-20 16:25:00,69127236,Linwood,5.6,LOST
2025-09-20 16:40:31,Newmarket,1m2f Nov Stks,2025-09-20 16:30:00,79863183,Warrant Holder,2.54,LOST
2025-09-20 16:45:00,Ayr,7f Hcap,2025-09-20 16:40:00,47063201,Kelpie Grey,5.1,LOST
2025-09-20 16:47:01,Gowran Park,1m1f Mdn,2025-09-20 16:35:00,7240033,Amplitude,5.8,WON
2025-09-20 16:52:30,Chester,1m6f Hcap,2025-09-20 16:45:00,50638774,Dino Bellagio,6.0,WON
2025-09-20 16:53:00,Wolverhampton,5f Nursery,2025-09-20 16:50:00,82579042,Henrythenate,2.84,WON
2025-09-20 17:06:01,Navan,2m5f Hcap Hrd,2025-09-20 16:55:00,64252360,Aurea Fortuna,4.9,LOST
2025-09-20 17:12:00,Newmarket,1m1f Hcap,2025-09-20 17:05:00,43699357,I Still Have Faith,5.1,LOST
2025-09-20 17:14:31,Newbury,1m Hcap,2025-09-20 17:00:00,74050662,Stem,5.4,LOST
2025-09-20 17:15:31,Gowran Park,1m1f App Hcap,2025-09-20 17:10:00,28585454,Positive Energy,4.5,LOST
2025-09-20 17:20:00,Ayr,7f Hcap,2025-09-20 17:15:00,27699876,Quest For Fun,5.7,LOST
2025-09-20 17:26:30,Chester,1m2f Hcap,2025-09-20 17:20:00,82951483,Jupiter Ammon,3.75,LOST
2025-09-20 17:29:30,Wolverhampton,7f Mdn Stks,2025-09-20 17:25:00,86116731,Reliable Ricki,3.8,WON
2025-09-20 17:37:31,Navan,2m INHF,2025-09-20 17:30:00,88390375,Ade Boy,2.6,WON
2025-09-20 17:44:30,Gowran Park,7f NHF,2025-09-20 17:40:00,67452335,Gleneagle Bay,1.85,LOST
2025-09-20 18:04:01,Wolverhampton,7f Mdn Stks,2025-09-20 17:55:00,87138255,Deluded,1.66,WON
2025-09-20 18:37:31,Wolverhampton,7f Hcap,2025-09-20 18:30:00,65772795,Hilltop,5.1,WON
2025-09-20 19:05:00,Wolverhampton,7f Hcap,2025-09-20 19:00:00,134774,Latin,4.3,LOST
2025-09-20 19:37:01,Wolverhampton,1m1f Hcap,2025-09-20 19:30:00,81200269,Karakula,4.9,LOST
2025-09-20 20:05:31,Wolverhampton,1m4f Hcap,2025-09-20 20:00:00,46230998,Jimmy Mark,3.35,LOST
2025-09-20 20:37:01,Wolverhampton,6f Hcap,2025-09-20 20:30:00,70296576,Style King,5.7,LOST
