timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-06 13:23:31,Haydock,1m Grp 3,2025-09-06 13:15:00,79211473,Zeus Olympios,4.1,WON
2025-09-06 13:46:30,Ascot,1m Mdn Stks,2025-09-06 13:40:00,87177913,Lost Boys,3.1,LOST
2025-09-06 13:49:01,Kempton,1m4f Grp 3,2025-09-06 13:35:00,39232480,Kalpana,1.61,LOST
2025-09-06 13:52:30,Navan,6f Mdn,2025-09-06 13:45:00,87221731,Treasured Royal,3.85,WON
2025-09-06 13:58:31,Haydock,1m Listed,2025-09-06 13:50:00,10465910,Bow Echo,2.02,WON
2025-09-06 14:17:00,Ascot,1m2f Hcap,2025-09-06 14:10:00,74585965,Crown Of Oaks,1.89,WON
2025-09-06 14:18:31,Kempton,1m Hcap,2025-09-06 14:05:00,70332927,Sky Safari,4.3,WON
2025-09-06 14:21:00,Navan,6f Stks,2025-09-06 14:15:00,83722149,Fresh Fade,3.3,LOST
2025-09-06 14:24:30,Thirsk,1m Nursery,2025-09-06 14:20:00,26437799,Real Man,2.52,LOST
2025-09-06 14:32:00,Haydock,1m6f Hcap,2025-09-06 14:25:00,10589,Pole Star,4.2,LOST
2025-09-06 14:41:00,Kempton,7f Nursery,2025-09-06 14:35:00,84444815,Mayaada,2.44,LOST
2025-09-06 14:50:01,Ascot,7f Hcap,2025-09-06 14:40:00,9030813,Native Warrior,5.9,WON
2025-09-06 14:53:30,Navan,5f Hcap,2025-09-06 14:45:00,22202483,Amicitia,4.2,WON
2025-09-06 14:55:30,Thirsk,5f Nursery,2025-09-06 14:50:00,84198550,Dandy Style,4.7,LOST
2025-09-06 15:11:31,Haydock,1m6f Hcap,2025-09-06 15:00:00,965950,The Reverend,5.6,WON
2025-09-06 15:24:31,Ascot,1m4f Hcap,2025-09-06 15:15:00,74948403,Push The Limit,2.54,LOST
2025-09-06 15:25:30,Navan,5f Hcap,2025-09-06 15:20:00,62846710,Fair Taxes,5.2,LOST
2025-09-06 15:33:01,Thirsk,6f Nov Stks,2025-09-06 15:25:00,84524264,River Spey,2.34,LOST
2025-09-06 15:37:32,Kempton,6f Grp 3,2025-09-06 15:10:00,84350909,Beckfords Folly,3.2,LOST
2025-09-06 15:48:01,Haydock,6f Grp 1,2025-09-06 15:35:00,65106746,Lazzat,2.16,LOST
2025-09-06 15:56:01,Kempton,6f Hcap,2025-09-06 15:45:00,124283,Aramram,3.25,LOST
2025-09-06 15:56:30,Ascot,1m Hcap,2025-09-06 15:50:00,83166733,Abloom,4.2,WON
2025-09-06 16:04:00,Navan,1m Mdn,2025-09-06 15:55:00,86116353,Therewillbeglory,3.3,LOST
