timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-27 13:31:01,Curragh,6f Mdn,2025-09-27 13:25:00,87434295,Armada De Lope,3.6,LOST
2025-09-27 13:46:00,Ripon,6f Mdn Stks,2025-09-27 13:40:00,86754102,Here Forever,1.29,WON
2025-09-27 13:58:31,Newmarket,1m Grp 2,2025-09-27 13:50:00,10465910,Bow Echo,3.65,WON
2025-09-27 14:09:01,Curragh,5f Hcap,2025-09-27 14:00:00,59463602,Keke,5.4,LOST
2025-09-27 14:13:30,Haydock,5f Hcap,2025-09-27 14:05:00,71953751,All Ways Glamorous,5.2,LOST
2025-09-27 14:18:00,Listowel,2m Mdn Hrd,2025-09-27 14:10:00,58579328,Louiescall,3.6,LOST
2025-09-27 14:22:00,Ripon,1m Nursery,2025-09-27 14:15:00,84926434,Zooter,2.34,LOST
2025-09-27 14:33:01,Newmarket,6f Grp 1,2025-09-27 14:25:00,81366493,True Love,3.15,WON
2025-09-27 14:40:30,Curragh,1m Grp 2,2025-09-27 14:35:00,2569754,Hawk Mountain,2.14,WON
2025-09-27 14:49:01,Haydock,6f Hcap,2025-09-27 14:40:00,18258088,Realign,3.65,WON
2025-09-27 14:55:01,Listowel,2m4f Nov Hrd,2025-09-27 14:45:00,72211545,Cameletta Vega,2.88,LOST
2025-09-27 14:58:01,Ripon,5f Hcap,2025-09-27 14:50:00,57349073,Vince Lamour,5.0,LOST
2025-09-27 15:15:30,Curragh,7f Hcap,2025-09-27 15:10:00,15905,Genuine Article,5.4,LOST
2025-09-27 15:24:01,Haydock,1m Hcap,2025-09-27 15:15:00,42729175,Midnight Gun,5.0,LOST
2025-09-27 15:29:03,Newmarket,6f Grp 1,2025-09-27 15:00:00,83060707,Wise Approach,2.56,WON
2025-09-27 15:30:01,Listowel,2m4f Hcap Hrd,2025-09-27 15:20:00,3783352,Millstream Lady,4.5,LOST
2025-09-27 15:37:01,Ripon,6f Hcap,2025-09-27 15:25:00,46250272,Mister Sox,5.0,LOST
2025-09-27 15:39:01,Market Rasen,2m Mdn Hrd,2025-09-27 15:30:00,76407330,Settle Down Jill,1.57,LOST
2025-09-27 15:52:31,Newmarket,1m1f Hcap,2025-09-27 15:40:00,50095494,Real Gain,8.2,LOST
2025-09-27 15:57:01,Curragh,7f Stks,2025-09-27 15:45:00,2096221,Composing,2.14,LOST
2025-09-27 15:57:30,Haydock,1m Mdn Stks,2025-09-27 15:50:00,87177913,Lost Boys,2.98,WON
2025-09-27 16:08:01,Listowel,2m6f Hcap Hrd,2025-09-27 15:55:00,54841717,Rising Dust,2.58,WON
2025-09-27 16:13:31,Ripon,6f Hcap,2025-09-27 16:00:00,60004224,Annie Edson Taylor,6.4,LOST
2025-09-27 16:15:31,Market Rasen,3m Hcap Chs,2025-09-27 16:05:00,54534322,Crookbarrow,5.3,LOST
2025-09-27 16:21:31,Newmarket,7f Nursery,2025-09-27 16:15:00,5598138,Queen Tamara,2.96,LOST
2025-09-27 16:24:30,Curragh,7f Stks,2025-09-27 16:20:00,82651749,Collecting Coin,3.65,LOST
2025-09-27 16:25:00,Southwell,5f Nursery,2025-09-27 16:19:00,84924882,Havin A Flyer,4.2,LOST
2025-09-27 16:32:30,Haydock,1m Nov Stks,2025-09-27 16:25:00,87143380,Nada Two,1.74,LOST
2025-09-27 16:43:31,Listowel,2m6f Hcap Chs,2025-09-27 16:30:00,51257680,Talk In The Park,4.7,LOST
2025-09-27 16:45:01,Market Rasen,2m Hrd,2025-09-27 16:35:00,1368753,Lord,1.37,WON
2025-09-27 16:46:31,Ripon,1m4f Nov Stks,2025-09-27 16:40:00,87468839,Aequitas,1.38,WON
2025-09-27 16:50:30,Newmarket,7f Mdn Stks,2025-09-27 16:45:00,5327102,Act Of Kindness,2.56,LOST
2025-09-27 16:57:01,Southwell,5f Mdn Stks,2025-09-27 16:50:00,86072338,Siouxpersonic,1.86,WON
2025-09-27 17:02:30,Curragh,1m2f Mdn,2025-09-27 16:55:00,75061127,Simurgh,4.1,WON
2025-09-27 17:12:01,Haydock,7f Nursery,2025-09-27 17:00:00,26437799,Real Man,3.0,LOST
2025-09-27 17:14:01,Listowel,3m Hcap Chs,2025-09-27 17:05:00,16907419,Pride Of Place,4.6,WON
2025-09-27 17:22:31,Market Rasen,2m5f Hcap Chs,2025-09-27 17:10:00,39703589,Coastguard Station,4.0,WON
2025-09-27 17:26:01,Ripon,2m Hcap,2025-09-27 17:15:00,595994,Sawgrass,5.2,LOST
2025-09-27 17:27:30,Newmarket,7f Mdn Stks,2025-09-27 17:20:00,89075064,Ottoman Empress,3.3,LOST
2025-09-27 17:34:31,Southwell,1m4f Mdn Stks,2025-09-27 17:25:00,85029640,Aajej,2.48,LOST
2025-09-27 17:37:31,Curragh,1m2f Mdn,2025-09-27 17:30:00,75131100,Subsonic,2.8,WON
2025-09-27 17:45:01,Haydock,1m6f Hcap,2025-09-27 17:35:00,62754,Thosewerethedays,2.72,LOST
2025-09-27 17:50:01,Listowel,2m NHF,2025-09-27 17:40:00,81280677,Starting Fifteen,3.25,LOST
2025-09-27 17:56:01,Market Rasen,2m Hcap Hrd,2025-09-27 17:45:00,54488,Goblet Of Fire,4.1,LOST
2025-09-27 18:04:01,Newmarket,7f Hcap,2025-09-27 17:55:00,27881539,Indian Springs,3.1,LOST
2025-09-27 18:06:00,Southwell,1m Hcap,2025-09-27 18:00:00,58351411,Bowood,3.1,LOST
2025-09-27 18:24:31,Market Rasen,2m2f Hcap Hrd,2025-09-27 18:15:00,124281,Bannister,3.45,LOST
2025-09-27 18:36:01,Southwell,6f Hcap,2025-09-27 18:30:00,58383349,Ziggys Condor,3.75,LOST
2025-09-27 19:07:01,Southwell,6f Hcap,2025-09-27 19:00:00,44235049,Way To Dubai,4.7,LOST
2025-09-27 19:35:30,Southwell,5f Hcap,2025-09-27 19:30:00,25493268,Bayraat,4.9,LOST
2025-09-27 20:13:01,Southwell,1m6f Hcap,2025-09-27 20:00:00,82292379,Belaya River,3.7,LOST
2025-09-27 20:37:31,Southwell,1m4f Hcap,2025-09-27 20:30:00,1144748,Always A Star,2.46,LOST
