timestamp,location,race_name,race_start,selection_id,runner_name,odds,result
2025-09-04 13:58:01,Southwell,1m3f Hcap,2025-09-04 13:50:00,85263566,Night Tara,1.89,LOST
2025-09-04 14:19:02,Haydock,1m3f Hcap,2025-09-04 14:00:00,67801051,Spartan Times,3.35,LOST
2025-09-04 14:28:31,Southwell,6f Mdn Stks,2025-09-04 14:20:00,1047648,Inside Story,1.82,WON
2025-09-04 14:50:32,Haydock,1m Nov Stks,2025-09-04 14:30:00,88043569,Faeberon,2.92,LOST
2025-09-04 15:02:01,Southwell,6f Nursery,2025-09-04 14:50:00,85225499,Davorge Nation,4.3,LOST
2025-09-04 15:12:01,Haydock,7f Mdn Stks,2025-09-04 15:00:00,88043572,Gaspacho,2.46,LOST
2025-09-04 15:29:31,Southwell,6f Hcap,2025-09-04 15:20:00,34000565,Asadjumeirah,7.8,LOST
2025-09-04 15:46:32,Haydock,7f Nursery,2025-09-04 15:30:00,82679774,Blue To Blue,2.36,WON
2025-09-04 15:50:31,Lingfield,1m4f Hcap,2025-09-04 15:40:00,15089625,Sourdough,2.22,LOST
2025-09-04 16:01:00,Southwell,7f Mdn Stks,2025-09-04 15:55:00,837270,Sapphire Princess,2.86,LOST
2025-09-04 16:15:01,Haydock,6f Nov Stks,2025-09-04 16:02:00,19293200,Division,1.77,WON
2025-09-04 16:26:32,Lingfield,2m Hcap,2025-09-04 16:10:00,72651341,Double Meaning,1.4,WON
2025-09-04 16:32:31,Southwell,7f Hcap,2025-09-04 16:25:00,64536649,Thorntonledale Max,4.5,WON
2025-09-04 16:36:00,Laytown,6f Claim Stks,2025-09-04 16:30:00,11998133,Devils Angel,3.95,LOST
2025-09-04 16:44:31,Haydock,1m2f Hcap,2025-09-04 16:37:00,185024,Albany,4.3,LOST
2025-09-04 16:54:01,Lingfield,1m2f Hcap,2025-09-04 16:43:00,63805237,Birthday Angel,4.0,LOST
2025-09-04 17:02:01,Sedgefield,2m4f Mdn Hrd,2025-09-04 16:53:00,77849884,Herja,2.76,WON
2025-09-04 17:07:00,Southwell,1m Hcap,2025-09-04 17:00:00,72520004,Bear Island,5.7,LOST
2025-09-04 17:13:01,Laytown,6f Hcap,2025-09-04 17:05:00,69400822,Ace In The Pack,6.0,LOST
2025-09-04 17:22:31,Haydock,1m2f Hcap,2025-09-04 17:12:00,240564,King Of The Sea,2.46,WON
2025-09-04 17:26:01,Lingfield,7f Nov Stks,2025-09-04 17:18:00,86405255,Akho Mezzna,3.2,LOST
2025-09-04 17:37:31,Sedgefield,2m5f Nov Hcap Chs,2025-09-04 17:28:00,43557336,Ivane,2.46,WON
2025-09-04 17:40:00,Southwell,1m Hcap,2025-09-04 17:35:00,72999468,Elvetham,5.1,LOST
2025-09-04 17:46:00,Laytown,6f Hcap,2025-09-04 17:40:00,21534820,Jered Maddox,4.5,LOST
2025-09-04 17:56:30,Lingfield,1m Nov Stks,2025-09-04 17:50:00,84671257,Dreamasar,1.17,WON
2025-09-04 18:09:31,Sedgefield,3m3f Hcap Hrd,2025-09-04 18:00:00,54618323,Hostile Hotelier,5.1,LOST
2025-09-04 18:19:01,Laytown,7f Mdn,2025-09-04 18:10:00,76351851,Captain Hanley,3.5,LOST
2025-09-04 18:32:01,Lingfield,5f Hcap,2025-09-04 18:20:00,48680932,Almaty Star,3.5,LOST
2025-09-04 18:42:31,Sedgefield,2m3f Hcap Chs,2025-09-04 18:30:00,74275955,Delpotro,4.0,WON
2025-09-04 18:45:30,Laytown,7f Hcap,2025-09-04 18:40:00,35600246,Punk Poet,4.0,LOST
2025-09-04 18:58:01,Lingfield,7f Hcap,2025-09-04 18:50:00,72519993,Darn Hot Mystery,4.0,LOST
2025-09-04 19:11:31,Sedgefield,2m4f Hcap Hrd,2025-09-04 19:00:00,59289857,Annie Agnew,4.6,LOST
2025-09-04 19:20:01,Laytown,7f Hcap,2025-09-04 19:10:00,15028549,Shoot To Kill,4.6,LOST
2025-09-04 19:34:01,Lingfield,6f Hcap,2025-09-04 19:20:00,80693034,Dancing With Drums,2.76,WON
2025-09-04 19:36:31,Sedgefield,2m1f NHF,2025-09-04 19:30:00,85029593,Frammy,1.61,WON
